"Редактирование любых моделей, созданных в СУМ и в СУРМ",+/+,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУМ",+/-,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУРМ",-/+,,,,,,,,,,,,,,,,,,,,
Редактирование недоступно,-/-,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Название атрибута в СУРМ,Источник СУМ,"Бизнес-заказчик (Владелец модели)  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель Вадилации, Валидатор для моделей, созданных в СУМ/созданных в СУРМ","Руководитель DE, DE  для моделей, созданных в СУМ/созданных в СУРМ","DS_Lead для моделей, созданных в СУМ/созданных в СУРМ","DS  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель ModelOps,  ModelOps для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  стрима для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  (штабная) для моделей, созданных в СУМ/созданных в СУРМ",Доступен ли для редактирования в СУРМ,Реализованный алгоритм синхронизации,Целевой алгоритм синхронизации,,,,,,,,,
Дата уведомления БР о применении РС / Модели для сегмента,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Номер уведомления БР о применении РС / Модели для сегмента,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата и номер первичного решения Регулятора о выдаче разрешения на применение РС/Модели (для всех сегментов),-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата решения БР о выдаче разрешения на применение РС / Модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Номер решения БР о выдаче разрешения на применение РС / Модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата и номер уведомления в адрес Регулятора о начале первичного применения РС/Модели (для всех сегментов),-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Дата уведомления БР о применении РС / Модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Номер уведомления БР о применении РС / Модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
"Дата начала применения РС / Модели, утвержденная Регулятором",-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Код модели ЦРС,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
RFD,+,-/-,-/-,-/-,+/-,+/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Название модели в реестре ДАДМ,+,-/-,-/-,-/-,+/-,+/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Стрим-исполнитель,+,-/-,-/-,-/-,+/-,-/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Этап 04,+,-/-,-/-,+/-,+/-,+/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Дата решения 04,+,-/-,-/-,+/-,+/-,+/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Модельный эпик 05,+,-/-,-/-,-/-,+/-,+/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Этап 05А,+,-/-,-/-,-/-,+/-,+/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Дата завершения разработки пилота,+,-/-,-/-,-/-,+/-,+/-,-/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Решение о внедрении модели,+,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,Синхронизации нет,"Значение синхронизируется из СУМ в СУРМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Этап 07,+,-/-,-/-,+/-,+/-,-/-,+/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
Дата решения для 07 этапа,+,-/-,-/-,+/-,+/-,-/-,+/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
CustomModelId,+,-/-,-/-,-/-,+/-,-/-,+/-,-/-,+/-,Да,Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ,"Значение синхронизируется из СУМ в СУРМ и из СУРМ в СУМ для моделей, созданных в СУМ
Для моделей, созданных в СУРМ, синхронизации нет",,,,,,,,,
